#{"t_start": 1702839456.6788507, "env_id": "None"}
r,l,t
19.673254,1001,8231.293314
10.289795,531,8251.35672
19.661402,1001,8288.557222
19.697802,1001,8325.923629
19.616798,1001,8363.058169
14.859225,761,8391.50373
15.32069,783,8420.755826
2.261544,132,8426.265642
8.571178,447,8443.269815
19.632926,1001,8480.442334
19.264375,989,8517.232073
5.797559,307,8529.09022
19.622576,1001,8566.43364
19.644646,1001,8604.055898
19.711598,1001,8641.17145
18.341529,1001,8678.219041
19.623322,1001,8715.394557
19.535839,1001,8752.99283
19.666992,1001,8790.310264
19.664196,1001,8827.864562
19.655038,1001,8865.291933
19.68024,1001,8902.441465
19.720305,1001,8939.7579
19.695454,1001,8976.98039
19.664356,1001,9014.23486
19.655977,1001,9051.487333
17.989798,916,9085.699562
19.583497,1001,9123.011999
19.692645,1001,9160.274466
19.637111,1001,9197.480964
19.666611,1001,9234.698457
19.593507,1001,9272.032882
19.703327,1001,9309.370305
19.70922,1001,9347.340362
19.710287,1001,9384.661795
19.680369,1001,9421.907271
19.679188,1001,9459.529529
19.715658,1001,9496.785
19.669456,1001,9534.184387
19.686533,1001,9571.818639
19.711909,1001,9609.018142
19.562908,1001,9646.469499
19.694141,1001,9683.960834
19.723692,1001,9722.284686
19.612289,1001,9759.902946
19.6341,1001,9797.019498
19.699294,1001,9834.065089
19.67985,1001,9871.362535
19.590481,1001,9908.532056
19.658932,1001,9945.772534
19.64431,1001,9982.996024
19.679835,1001,10020.166543
19.691788,1001,10057.227126
19.70965,1001,10094.365664
19.679931,1001,10131.613139
19.679526,1001,10168.649736
19.670789,1001,10205.764288
19.613731,1001,10242.966789
19.635397,1001,10280.219261
19.618524,1001,10317.317822
19.576431,1001,10354.970063
19.608844,1001,10392.171565
19.697032,1001,10429.390057
19.544909,1001,10466.619542
19.614808,1001,10504.4167
19.642097,1001,10541.700154
19.63793,1001,10579.212476
19.681425,1001,10616.780766
19.64894,1001,10654.098201
19.688252,1001,10691.464607
19.648233,1001,10729.049887
19.670448,1001,10766.506242
19.627674,1001,10804.04055
19.657758,1001,10841.40096
19.69829,1001,10878.538499
19.617583,1001,10915.872924
19.676969,1001,10952.964489
19.724435,1001,10990.223957
19.728619,1001,11027.486423
19.709225,1001,11064.660941
19.690048,1001,11101.95339
19.738221,1001,11139.217855
19.713737,1001,11184.839491
19.64712,1001,11232.058203
19.731323,1001,11279.177974
19.522053,1001,11326.212792
19.734021,1001,11370.13541
19.699539,1001,11407.264953
19.653932,1001,11444.614369
19.612137,1001,11481.844854
19.683102,1001,11519.447124
19.667578,1001,11556.602652
19.728352,1001,11593.817147
19.109922,1001,11631.087608
10.824229,594,11653.546629
17.300664,883,11686.449615
19.720392,1001,11723.670106
19.64772,1001,11761.050504
19.669176,1001,11798.223023
19.697783,1001,11835.4665
19.697033,1001,11872.60204
19.706081,1001,11910.252282
19.712211,1001,11947.555725
19.6719,1001,11985.026072
19.657102,1001,12022.30153
19.178541,1001,12059.688924
7.402524,395,12074.966096
19.701587,1001,12112.407459
19.059213,1001,12149.682918
17.802796,939,12184.666701
19.663654,1001,12221.801241
19.600106,1001,12258.888809
19.673842,1001,12296.063326
19.691486,1001,12333.766538
19.648783,1001,12370.976035
19.673044,1001,12408.44838
19.712221,1001,12445.662874
19.65223,1001,12482.83839
19.674759,1001,12520.065877
19.658275,1001,12557.154444
19.633498,1001,12594.488869
19.697985,1001,12631.675379
19.628915,1001,12668.950838
19.683008,1001,12706.519128
19.65719,1001,12743.799584
19.676167,1001,12780.967105
19.679141,1001,12818.230571
19.688881,1001,12855.364112
19.633662,1001,12892.561615
19.703505,1001,12930.110917
19.613153,1001,12967.341402
19.712519,1001,13004.539905
19.669594,1001,13042.01225
19.5916,1001,13079.255728
19.582047,1001,13118.079291
19.482667,1001,13155.374739
19.606533,1001,13193.04397
19.586154,1001,13230.1965
19.67508,1001,13267.641861
19.728369,1001,13305.047245
19.689212,1001,13342.569561
19.466828,1001,13380.799468
18.692037,1001,13418.095915
19.502591,1001,13455.364378
19.648769,1001,13492.8767
19.634737,1001,13530.210125
19.638955,1001,13567.493579
19.686243,1001,13604.863984
19.71591,1001,13642.284359
19.67955,1001,13679.533833
19.418985,1001,13716.836276
19.726765,1001,13754.135721
18.861063,1001,13791.641047
19.682059,1001,13829.056425
